Tamb,Tin,w_fan,q,Tout
25,28,63.908,9,26.4794921875
25,28,81.544,9,26.33740234375
25,28,99.18,9,26.2333984375
25,28,11,12,27.6818242790217
25,28,28.636,12,27.1898834728372
25,28,46.272,12,26.8801390396533
25,28,63.908,12,26.669921875
25,28,81.544,12,26.517578125
25,28,99.18,12,26.40478515625
25,28,11,15,27.7409575250319
25,28,28.636,15,27.3149353737829
25,28,46.272,15,27.027019257329
25,28,63.908,15,26.821533203125
25,28,81.544,15,26.66845703125
25,28,99.18,15,26.5498046875
25,28,11,18,27.7813585052299
25,28,28.636,18,27.407489436125
25,28,46.272,18,27.1414530588203
25,28,63.908,18,26.9438156989599
25,28,81.544,18,26.79150390625
25,28,99.18,18,26.67138671875
25,28,11,21,27.8110549009206
25,28,28.636,21,27.4777691441715
25,28,46.272,21,27.231843467902
25,28,63.908,21,27.0436316409228
25,28,81.544,21,26.8953964868787
25,28,99.18,21,26.775390625
25,28,11,24,27.8335719757783
25,28,28.636,24,27.5337215265933
25,28,46.272,24,27.3058302347932
25,28,63.908,24,27.1262623651994
25,28,81.544,24,26.9832965618222
25,28,99.18,24,26.86474609375
25,32.5,11,6,31.0414383133364
25,32.5,28.636,6,29.324951171875
25,32.5,46.272,6,28.511962890625
25,32.5,63.908,6,28.046875
25,32.5,81.544,6,27.742919921875
25,32.5,99.18,6,27.5341796875
25,32.5,11,9,31.4671001141289
25,32.5,28.636,9,30.0071743725857
25,32.5,46.272,9,29.178466796875
25,32.5,63.908,9,28.65478515625
25,32.5,81.544,9,28.292236328125
25,32.5,99.18,9,28.028564453125
25,32.5,11,12,31.7013922243927
25,32.5,28.636,12,30.4597158860208
25,32.5,46.272,12,29.6728266039338
25,32.5,63.908,12,29.141845703125
25,32.5,81.544,12,28.75732421875
25,32.5,99.18,12,28.46435546875
25,32.5,11,15,31.8498184281132
25,32.5,28.636,15,30.7767164011503
25,32.5,46.272,15,30.0478488438262
25,32.5,63.908,15,29.5263671875
25,32.5,81.544,15,29.13818359375
25,32.5,99.18,15,28.834228515625
25,32.5,11,18,31.9516335982152
25,32.5,28.636,18,31.0097159049752
25,32.5,46.272,18,30.3369239358095
