,Tamb,Tdc_in,qdc,wdc
403,17.666666666666664,38.666666666666664,2070.0,28.636000000000003
404,17.666666666666664,38.666666666666664,2070.0,46.272000000000006
405,17.666666666666664,38.666666666666664,2070.0,63.90800000000001
406,17.666666666666664,38.666666666666664,2070.0,81.54400000000001
407,17.666666666666664,38.666666666666664,2070.0,99.18
408,17.666666666666664,38.666666666666664,2415.0,11.0
409,17.666666666666664,38.666666666666664,2415.0,28.636000000000003
410,17.666666666666664,38.666666666666664,2415.0,46.272000000000006
411,17.666666666666664,38.666666666666664,2415.0,63.90800000000001
412,17.666666666666664,38.666666666666664,2415.0,81.54400000000001
413,17.666666666666664,38.666666666666664,2415.0,99.18
414,17.666666666666664,38.666666666666664,2760.0,11.0
415,17.666666666666664,38.666666666666664,2760.0,28.636000000000003
416,17.666666666666664,38.666666666666664,2760.0,46.272000000000006
417,17.666666666666664,38.666666666666664,2760.0,63.90800000000001
418,17.666666666666664,38.666666666666664,2760.0,81.54400000000001
419,17.666666666666664,38.666666666666664,2760.0,99.18
420,17.666666666666664,43.166666666666664,690.0,11.0
