eval_index,Tamb,HR,Twct_in,qwct,wwct,Twb,mw_ma_ratio,Tout,m_w_lost,evaluation_status,Ce
81,14.75,0.0009707903002056,30.0,2173.090909090909,23.111184114216737,3.0704317474709653,3.125000012027069,21.008538477320418,26959.71036559779,2,6.614969833171106
82,14.75,0.0009707903002056,30.0,2173.090909090909,22.31469123244264,3.0704317474709653,4.000000093989488,25.00060140185297,15372.490092716984,2,6.14452120291034
83,14.75,0.0009707903002056,30.0,2428.3636363636365,49.5673327263448,3.0704317474709653,0.5000000029883127,13.007041061725795,59760.86566002371,2,34.18980706122639
84,14.75,0.0009707903002056,30.0,2428.3636363636365,28.969798940129884,3.0704317474709653,1.3750000219282366,20.41382741575532,32708.05018883252,2,10.678538914453297
85,14.75,0.0009707903002056,30.0,2428.3636363636365,25.15892870600464,3.0704317474709653,2.2500000279534498,23.292904773732587,22817.53091922756,2,7.913385464746278
86,14.75,0.0009707903002056,30.0,2428.3636363636365,23.542330915010755,3.0704317474709653,3.125000086600472,24.83585865420066,17558.639066064174,2,6.877661310590977
87,14.75,0.0009707903002056,30.0,2428.3636363636365,22.64784888860209,3.0704317474709653,4.000000066199476,25.000601367288503,17178.294771877474,2,6.338964995815704
88,14.75,0.0009707903002056,30.0,2683.636363636364,53.847020142860686,3.0704317474709653,0.5000000000262012,13.007040963518016,66043.00559061836,2,41.05225946432619
89,14.75,0.0009707903002056,30.0,2683.636363636364,30.03557397274408,3.0704317474709653,1.375000019811318,20.413827405757107,36146.36278064436,2,11.53498240066587
90,14.75,0.0009707903002056,30.0,2683.636363636364,25.77494851861936,3.0704317474709653,2.25000005975216,23.292904855016456,25216.13898511073,2,8.329340523623792
91,14.75,0.0009707903002056,30.0,2683.636363636364,23.97592437204345,3.0704317474709653,3.125000026998167,24.835858573386545,19404.42622603152,2,7.147568424397055
92,14.75,0.0009707903002056,30.0,2683.636363636364,22.982448532230617,3.0704317474709653,4.000000008720216,25.00060129579701,18984.09961805118,2,6.537629800758347
93,14.75,0.0009707903002056,30.0,2938.909090909091,58.56688820053609,3.0704317474709653,0.500000001496374,13.007041039292652,72325.14480198866,2,49.47669931608672
94,14.75,0.0009707903002056,30.0,2938.909090909091,31.11784771417528,3.0704317474709653,1.3750000091877903,20.41382735560069,39584.67554806932,2,12.442604854017649
95,14.75,0.0009707903002056,30.0,2938.909090909091,26.396127169067075,3.0704317474709653,2.2500000093695505,10.955301221111704,95159.3945348435,2,8.760788785791094
96,14.75,0.0009707903002056,30.0,2938.909090909091,24.41200638502977,3.0704317474709653,3.1250000101216378,24.83585855051805,21250.213205145574,2,7.424841672564082
97,14.75,0.0009707903002056,30.0,2938.909090909091,23.318508850049803,3.0704317474709653,4.000000135988516,25.00060145409068,20789.9035503452,2,6.740582887278342
